S.No.,Company Name,Technical Analysis,Technical Analysis_2,Technical Analysis_3,,CMP Rs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE %,EPS AnnRs.,EPS Var 5Yrs%,Ticker (NSE),Ticker symbols_2,Rev Avg Est (INR Mn),Rev Growth%,EPS Analysts,EPS Avg Est,EPS Growth%,Price High,High % Change,Price Avg,Avg % Change,Price Low,Low % Change,Price Analysts,F-Score,Z-Score,M-Score,_fetched_at
90,Radico Khaitan,,,,,2789.4,70.4,37348.25,0.14,155.09,69.07,1546.75,19.51,16.24,25.8,7.02,RADICO.NS,RADICO.NS,60904,13.53,18,44.2,28.24,3900,39.82,3544,27.05,3235,15.97,18,7,13.14,-5.21,2026-04-10 16:11:56
78,Rainbow Child.,,,,,1186.1,46.76,12045.93,0.25,73.9,5.59,445.45,11.9,18.69,23.97,13.05,RAINBOW.NS,RAINBOW.NS,16722.83,19.11,11,25.85008,26.94,1812,52.77,1475,24.36,1375,15.93,11,8,9.17,-4.93,2026-04-10 16:11:56
55,ICRA,,,,,5894,30.07,5688.44,1.02,39.06,2.72,163.59,35.34,23.13,176.15,12.03,ICRA.NS,ICRA.NS,6046.25,20.98,2,186.58566,16.98,7654,29.86,7227,22.62,6800,15.37,2,5,14.08,-5.35,2026-04-10 16:11:56
93,Patanjali Foods,,,,,521.25,33.76,56707.73,0.64,593.76,68.21,10483.71,16.53,15.55,11.98,35.96,PATANJALI.NS,PATANJALI.NS,396835,4.19,4,10.9,50.96,700,34.29,677.5,29.98,600,15.11,4,5,10.34,-5.62,2026-04-10 16:11:56
22,Infosys,,,,,1369.1,19.24,555125.53,3.14,6666,10.79,45479,8.9,37.5,64.32,10.56,INFY.NS,INFY.NS,1778030.33,7.35,44,70.48702,8.22,2200,60.69,1820,32.93,1555,13.58,44,5,519.9,-5,2026-04-10 16:11:56
41,Chambal Fert.,NO,NO,NO,,453.65,9.49,18175.59,2.2,586.39,9.73,5898.26,19.93,26.76,41.17,7.6,CHAMBLFERT.NS,CHAMBLFERT.NS,211001.5,5.32,2,47.7,-0.42,610,34.46,559.5,23.33,509,12.2,2,6,N/A,N/A,2026-04-10 16:11:56
58,Elgi Equipments,,,,,509.55,38.92,16148.1,0.43,95.2,31.4,1003.4,18.38,21.91,11.05,52.48,ELGIEQUIP.NS,3,39287.67,12.44,3,13.06667,17.86,645,26.58,565,10.88,564,10.69,3,8,9.84,-5.22,2026-04-10 16:11:56
79,Ahluwalia Contr.,,,,,899.9,22.56,6028.21,0.07,54.06,9.19,1060.72,11.42,18.47,30.17,25.67,AHLUCONT.NS,AHLUCONT.NS,47910.36,19.02,12,44.07273,21.12,1230,36.68,1095,21.68,995,10.57,12,5,2.98,-5.1,2026-04-10 16:11:56
68,Transport Corp.,,,,,1058.6,18.13,8122.32,0.85,115.8,13.68,1248.8,8.87,20.52,53.83,22.27,TCI.NS,TCI.NS,49314.2,13.75,9,59.6,12.92,1500,41.7,1345,27.05,1170,10.52,9,5,9.7,-5.35,2026-04-10 16:11:56
16,Triveni Turbine,,,,,490.7,44.24,15598.88,0.82,91.7,11.43,624,23.96,41.36,11.24,23.78,TRITURBINE.NS,TRITURBINE.NS,21687.4,18.68,10,11.96581,20.5,840,71.18,593.5,20.95,540,10.05,10,5,12.96,-5.59,2026-04-10 16:11:56
60,Ratnamani Metals,YES,YES,YES,BUY,2251,26.46,15777.71,0.62,135.38,-7.83,1065.83,-19.03,21.51,77.61,12.03,RATNAMANI.NS,RATNAMANI.NS,50029,15.69,6,92.3,8.02,3250,44.38,2793,24.08,2477,10.04,6,3,9.42,-5.34,2026-04-10 16:11:56
