date,ticker,strategy_id,strategy_name,signal_type,triggered_conditions,close_weekly,SSF50_weekly,RSI14_weekly,RSI14_MA_weekly,variant,exit_type
2026-07-27,SETFNIF50.NS,S5_weekly_etf_breakout,Weekly ETF Breakout [Mod-1],BUY,price_crossed_above_SSF50_weekly | RSI14_above_RSI14_MA,261.27,256.72,52.12,46.36,Modified-1,MANUAL
2026-07-27,NIFTYBEES.NS,S5_weekly_etf_breakout,Weekly ETF Breakout [Mod-1],BUY,price_crossed_above_SSF50_weekly | RSI14_above_RSI14_MA,276.49,271.61,52.17,46.48,Modified-1,MANUAL
2026-07-27,ITBEES.NS,S5_weekly_etf_breakout,Weekly ETF Breakout [Mod-1],BUY,price_crossed_above_SSF50_weekly | RSI14_above_RSI14_MA,34.62,32.52,54.35,38.05,Modified-1,MANUAL
2026-07-27,NIFTYIETF.NS,S5_weekly_etf_breakout,Weekly ETF Breakout [Mod-1],BUY,price_crossed_above_SSF50_weekly | RSI14_above_RSI14_MA,275.03,270.22,52.12,46.41,Modified-1,MANUAL
